subject,jumlah_tiket
Kode Satker Baru blm muncul di SPRINT,1
Gagal Rekon Gaji Terusan,1
Sudah pemutakhiran data tapi masih tertolak. Telepon KPPN Jakarta VII,1
Terkait Web SAKTI,1
permohonan penghapusan saldo yang berada dikas tunai di Dana Pihak ketiga januari 2020,1
Pembatalan Register Hibah,1
"Potongan PPh tahun 2020 berbeda dengan tahun PPh tahun 2019, sementara tidak ada perubahan status",1
Sertifikasi bnt thn 2020,1
kkp,1
Definisi hak timbulnya hak tagih kepada negara,1
Permohonan push ulang e-rekon (satker 527844),1
LPJ SAKTI dan ADK Monsakti berbeda,1
Perbedaan Saldo UP menurut UAKPA pada LPJ Bulan Juli 2019,1
Lupa id dan Pasword aplikasi Sakti Web,1
Kendala Login Aplikasi SPRINT,1
Maksimim Pencairan,1
Penghapusan Transaksi,1
Pencatatan Barang/Jasa KKP,1
Validasi Data Gagal,1
Upload ADK Gaji Induk/Gaji Susulan tidak berhasil (635926).,1
kode validasi sakti tidak muncul,1
Terkait penambahan sub komponen dalam aplikasi sakti.,1
Usulan Revisi Hal III DIPA 423265,1
permohonan USERNAME_MASKED untuk unit eselon I,1
SPBy Tidak Muncul Saat Rekam Kuitansi di Silabi,1
Pengajuan USERNAME_MASKED Kepegawaian pada Aplikasi PBNOpen,1
tidak bisa buka USERNAME_MASKED,1
Permohonan Push Data,1
KPPN Bandung,1
Revisi dipa,1
Tidak Adanya Honor Pejabat Penerima Brg/Jasa TA 2020,1
Update 9 Februari 2019 Modul Pembayaran Tidak Muncul,1
Permohonan Tutup Buku Bulan November 2019 KPP Madya Sidoarjo (449828),1
Selisih di BP PNBP pada LPJ Bendahara Penerimaan,1
Perhitungan IKPA 2020 Rekon-LPJ,1
Bendahara yang tersertifikasi,1
Perbaikan nama dan nomor rekening dana desa dalam rangka penyaluran dana desa di aplikasi SAKTI dan aplikasi OM SPAN,1
reset USERNAME_MASKED password,1
Permintaan KILL login akun modul ADMIN SAKTI satker 506208,1
Modul Penganggaran di SAKTI hilang,1
Cara Perekaman Kuitansi UP KKP,1
Isian Penandatangan tidak bisa diubah,1
Push e-rekon,1
Pendaftaran USERNAME_MASKED eselon,1
Pendaftaran USERNAME_MASKED Unit,1
updetan SAS 2020,1
Permasalahan Aplikasi Sakti,1
Permasalahan tentang sakti tidak bisa validasi revisi halaman III Dipa,1
